,phone
1,+302109000900
2,+30 210 9000903
3,+30 210 900 09 59
4,+49 30 2827015
5,+49 30 282 70 15
6,+74952903010
7,+15054761200
8,+30 210 9000915
9,+35 9745 6112 01
10,+302102325330
11,+357 22015398
12,+357 2201 5398
13,+971 72068885
14,+302102325332
15,+35 9745 6120 02
16,+971 7206 8885
17,+30 210 2325 334
18,+302102325333
19,+302102325331
20,+30 210 2325 330
21,+30 210 9000951
22,+49 30 283 914 66
23,+74712701171
24,+1 301 315 9631
25,+447545468483
26,+44 20 7255 0717
27,+1 737 218 6046
28,+31 30 303 33 40
29,+4687845000
30,+4623 70 22 300
31,+30 693 2206006
32,+8613811634832
33,+30 2310051352
34,+1512 666 5875
35,+355 4 45 20 360
36,+30 210 9313200
37,+40 314 326308
38,+30 210 9000 961
39,+302109000960
40,+30 210 9000 960
41,+30 210 900 0961
42,+30 210 900 0955
43,+30 210 900 0903
44,+30 210 900 0960
45,+30 210 900 0915
46,+30 210 900 0959
47,+30 210 900 0911
48,+30 210 3229705
49,+30 210 3230090
50,+30 210 3239200
51,+49 30 887 26 300
52,+49 30 887 26 333
53,+20130422
54,+4930355305286
55,+49525898580
56,+18889935273
57,+79286251122
58,+7 913 111
59,+79265624913
60,+44 1392 722524
61,+1535694389
62,+1518500249
63,+882459459
64,+341275144
65,+1 301 315
66,+441608811870
67,+61 2 8514 9950
68,+61 2 8514 9999
69,+49 700 86627724
70,+49621338330
71,+49 621 3383350
72,+49 621 338330
73,+1 617 54558 60
74,+49 621 338 33
75,+49 892 15488
76,+41 525 33833
77,+49 621 33833
78,+30 231 12574
79,+1 617 54558
80,+49 211 74956
81,+1 480 505 8800
82,+1 480 624 2546
83,+41 58 585 56 34
84,+41 58 585 76 55
85,+1 202 223 9256
86,+1 202 223 9252
87,+44 8700118187
88,+44 2074218299
89,+1 818 560 1000
90,+1 818 553 7210
91,+97142300011
92,+97126717333
93,+97142300018
94,+97126961146
95,+1 353 1 646
96,+0034934804410
97,+36 1 883 0456
98,+36 1 883 0301
99,+34 93 207 16 11
100,+385 1 619 89 97
101,+595991460480
102,+27 62 002 3530
103,+34 93 207 25 16
104,+48 22 270 20 98
105,+351 21 934 77 59
106,+90 212 671 29 36
107,+385 1 619 89 99
108,+370 5 273 00 51
109,+420 702 147 232
110,+46723294370
111,+31 88 055 14 00
112,+358 40 631 3553
113,+358456578746
114,+358503079992
115,+358504080197
116,+358504759645
117,+1 214 953 0004
118,+1 703 548 2867
119,+1 703 519 8160
120,+1 703 837
121,+34 932 701 620
122,+34 932 701 180
123,+1 202 707 6237
124,+1 202 707 0115
125,+44 7624 800100
126,+447624800100
127,+43 1 52 152
128,+1 650 319 8930
129,+16503198930
130,+31 0303033340
131,+12125959533
132,+1 646 490 1679
133,+18776209578
134,+46107097000
135,+46107097900
136,+46 23 666 55 00
137,+86400000
138,+16142925000
139,+16146884357
140,+19252470323
141,+302103223509
142,+441865272860
143,+44 1865 275500
144,+441865287430
145,+441865270360
146,+441865276150
147,+0000 2021
148,+44 1865 276555
149,+44 1865 284700
150,+44 1865 276884
151,+441865270600
152,+44 1865 279900
153,+44 1865 279902
154,+441865 278300
155,+44 01865
156,+44 1865 270708
157,+44 1865 270000
158,+447967 078172
159,+86 010 6158 6106
160,+82 70 4515 6893
161,+494041336742
162,+49 40 41336780
163,+49 40 41336717
164,+03362773
165,+2571517
166,+41 32 366 7800
167,+41 32 366 7890
168,+49 30 355305286
169,+491772493988
170,+493406508226
171,+493406508250
172,+1 64 77 24 46 91
173,+45 70 20 19 00
174,+49 69 605011
175,+86 21 31267881
176,+86 21 62791547
177,+49402519570
178,+74912506771
179,+74912506773
180,+74912506770
181,+78126025250
182,+73832892909
183,+73832891212
184,+74712395137
185,+7 907 7647981
186,+7 999 9999999
187,+41 26 419 88 88
188,+41 26 419 88 44
189,+73833196620
190,+7 495 727
191,+79859790934
192,+41 44 501 26 00
193,+15075383270
194,+18556296543
195,+19049530853
196,+18004462279
197,+4402078712575
198,+6558533
199,+691379 17
200,+691 37917
201,+69137917
202,+18002532687
203,+86 4009008831
204,+91 9764144222
205,+34 943 31 37 88
206,+351 213 021 118
